상품종류,단축코드,표준코드,한글종목명,ATM구분,행사가,월물구분코드,기초자산 단축코드,기초자산 명,시장분류코드,만기,delta,gamma,theta,vega,rho,otst,date,gamma_exposure
5,201V11292,KR4201VB2927,C 202411 292.5,2,292.5, ,2001,KOSPI200,C,202411,0.9988,0.0002,-0.0294,0.0025,0.1039,3,20241103,0.0006000000000000001
5,201V11295,KR4201VB2950,C 202411 295.0,2,295.0, ,2001,KOSPI200,C,202411,0.9979,0.0004,-0.0313,0.0042,0.1047,5,20241103,0.002
5,201V11297,KR4201VB2976,C 202411 297.5,2,297.5, ,2001,KOSPI200,C,202411,0.9964,0.0007,-0.034,0.0069,0.1054,5,20241103,0.0035
5,201V11300,KR4201VB3008,C 202411 300.0,2,300.0, ,2001,KOSPI200,C,202411,0.994,0.0011,-0.038,0.0108,0.106,344,20241103,0.3784
5,201V11302,KR4201VB3024,C 202411 302.5,2,302.5, ,2001,KOSPI200,C,202411,0.9903,0.0016,-0.0437,0.0165,0.1064,3,20241103,0.0048000000000000004
5,201V11305,KR4201VB3057,C 202411 305.0,2,305.0, ,2001,KOSPI200,C,202411,0.9849,0.0024,-0.0513,0.0243,0.1066,2,20241103,0.0048
5,201V11307,KR4201VB3073,C 202411 307.5,2,307.5, ,2001,KOSPI200,C,202411,0.977,0.0034,-0.0614,0.0347,0.1066,6,20241103,0.020399999999999998
5,201V11310,KR4201VB3107,C 202411 310.0,2,310.0, ,2001,KOSPI200,C,202411,0.9661,0.0047,-0.0742,0.0479,0.1061,18,20241103,0.08460000000000001
5,201V11312,KR4201VB3123,C 202411 312.5,2,312.5, ,2001,KOSPI200,C,202411,0.9514,0.0063,-0.0899,0.0642,0.1052,7,20241103,0.0441
5,201V11315,KR4201VB3156,C 202411 315.0,2,315.0, ,2001,KOSPI200,C,202411,0.9321,0.0081,-0.1083,0.0835,0.1037,11,20241103,0.0891
5,201V11317,KR4201VB3172,C 202411 317.5,2,317.5, ,2001,KOSPI200,C,202411,0.9076,0.0103,-0.1291,0.1054,0.1016,2,20241103,0.0206
5,201V11320,KR4201VB3206,C 202411 320.0,2,320.0, ,2001,KOSPI200,C,202411,0.8774,0.0126,-0.1516,0.1293,0.0987,40,20241103,0.504
5,201V11322,KR4201VB3222,C 202411 322.5,2,322.5, ,2001,KOSPI200,C,202411,0.8412,0.015,-0.1749,0.1542,0.0952,15,20241103,0.22499999999999998
5,201V11325,KR4201VB3255,C 202411 325.0,2,325.0, ,2001,KOSPI200,C,202411,0.799,0.0174,-0.1978,0.1789,0.0908,124,20241103,2.1576
5,201V11327,KR4201VB3271,C 202411 327.5,2,327.5, ,2001,KOSPI200,C,202411,0.751,0.0197,-0.219,0.202,0.0857,270,20241103,5.319
5,201V11330,KR4201VB3305,C 202411 330.0,2,330.0, ,2001,KOSPI200,C,202411,0.698,0.0216,-0.2371,0.2221,0.08,749,20241103,16.1784
5,201V11332,KR4201VB3321,C 202411 332.5,2,332.5, ,2001,KOSPI200,C,202411,0.6408,0.0232,-0.2511,0.2381,0.0737,1202,20241103,27.8864
5,201V11335,KR4201VB3354,C 202411 335.0,2,335.0, ,2001,KOSPI200,C,202411,0.5808,0.0242,-0.2598,0.2489,0.067,625,20241103,15.125
5,201V11337,KR4201VB3370,C 202411 337.5,2,337.5, ,2001,KOSPI200,C,202411,0.5193,0.0247,-0.2628,0.2538,0.0601,839,20241103,20.7233
5,201V11340,KR4201VB3404,C 202411 340.0,1,340.0, ,2001,KOSPI200,C,202411,0.4578,0.0246,-0.2599,0.2527,0.0531,2244,20241103,55.2024
5,201V11342,KR4201VB3420,C 202411 342.5,3,342.5, ,2001,KOSPI200,C,202411,0.3977,0.0239,-0.2513,0.2457,0.0462,2243,20241103,53.6077
5,201V11345,KR4201VB3453,C 202411 345.0,3,345.0, ,2001,KOSPI200,C,202411,0.3404,0.0227,-0.2377,0.2335,0.0396,4404,20241103,99.97080000000001
5,201V11347,KR4201VB3479,C 202411 347.5,3,347.5, ,2001,KOSPI200,C,202411,0.2869,0.0211,-0.22,0.2169,0.0335,7715,20241103,162.78650000000002
5,201V11350,KR4201VB3503,C 202411 350.0,3,350.0, ,2001,KOSPI200,C,202411,0.2381,0.0192,-0.1993,0.1971,0.0278,11321,20241103,217.36319999999998
5,201V11352,KR4201VB3529,C 202411 352.5,3,352.5, ,2001,KOSPI200,C,202411,0.1945,0.0171,-0.1767,0.1753,0.0228,8353,20241103,142.8363
5,201V11355,KR4201VB3552,C 202411 355.0,3,355.0, ,2001,KOSPI200,C,202411,0.1564,0.0149,-0.1535,0.1527,0.0183,11749,20241103,175.0601
5,201V11357,KR4201VB3578,C 202411 357.5,3,357.5, ,2001,KOSPI200,C,202411,0.1238,0.0127,-0.1307,0.1303,0.0145,10508,20241103,133.45159999999998
5,201V11360,KR4201VB3602,C 202411 360.0,3,360.0, ,2001,KOSPI200,C,202411,0.0965,0.0106,-0.109,0.1089,0.0113,14988,20241103,158.8728
5,201V11362,KR4201VB3628,C 202411 362.5,3,362.5, ,2001,KOSPI200,C,202411,0.074,0.0087,-0.0892,0.0893,0.0087,11462,20241103,99.7194
5,201V11365,KR4201VB3651,C 202411 365.0,3,365.0, ,2001,KOSPI200,C,202411,0.0559,0.007,-0.0716,0.0717,0.0066,20966,20241103,146.762
5,201V11367,KR4201VB3677,C 202411 367.5,3,367.5, ,2001,KOSPI200,C,202411,0.0415,0.0055,-0.0564,0.0566,0.0049,7109,20241103,39.0995
5,201V11370,KR4201VB3701,C 202411 370.0,3,370.0, ,2001,KOSPI200,C,202411,0.0304,0.0043,-0.0436,0.0438,0.0036,15576,20241103,66.9768
