상품종류,단축코드,표준코드,한글종목명,ATM구분,행사가,월물구분코드,기초자산 단축코드,기초자산 명,시장분류코드,만기,delta,gamma,theta,vega,rho,otst,date,gamma_exposure
6,301V11290,KR4301VB2900,P 202411 290.0,3,290.0, ,2001,KOSPI200,P,202411,-0.0006,0.0001,-0.0014,0.0014,-0.0001,5821,20241103,0.5821000000000001
6,301V11292,KR4301VB2926,P 202411 292.5,3,292.5, ,2001,KOSPI200,P,202411,-0.0012,0.0002,-0.0024,0.0025,-0.0001,5246,20241103,1.0492000000000001
6,301V11295,KR4301VB2959,P 202411 295.0,3,295.0, ,2001,KOSPI200,P,202411,-0.0021,0.0004,-0.004,0.0042,-0.0003,9330,20241103,3.732
6,301V11297,KR4301VB2975,P 202411 297.5,3,297.5, ,2001,KOSPI200,P,202411,-0.0036,0.0007,-0.0066,0.0069,-0.0004,6101,20241103,4.2707
6,301V11300,KR4301VB3007,P 202411 300.0,3,300.0, ,2001,KOSPI200,P,202411,-0.006,0.0011,-0.0104,0.0108,-0.0007,9675,20241103,10.6425
6,301V11302,KR4301VB3023,P 202411 302.5,3,302.5, ,2001,KOSPI200,P,202411,-0.0097,0.0016,-0.0158,0.0165,-0.0012,4773,20241103,7.6368
6,301V11305,KR4301VB3056,P 202411 305.0,3,305.0, ,2001,KOSPI200,P,202411,-0.0151,0.0024,-0.0232,0.0243,-0.0018,8956,20241103,21.4944
6,301V11307,KR4301VB3072,P 202411 307.5,3,307.5, ,2001,KOSPI200,P,202411,-0.023,0.0034,-0.033,0.0347,-0.0028,7257,20241103,24.6738
6,301V11310,KR4301VB3106,P 202411 310.0,3,310.0, ,2001,KOSPI200,P,202411,-0.0339,0.0047,-0.0456,0.0479,-0.0042,14860,20241103,69.842
6,301V11312,KR4301VB3122,P 202411 312.5,3,312.5, ,2001,KOSPI200,P,202411,-0.0486,0.0063,-0.061,0.0642,-0.006,6813,20241103,42.9219
6,301V11315,KR4301VB3155,P 202411 315.0,3,315.0, ,2001,KOSPI200,P,202411,-0.0679,0.0081,-0.0792,0.0835,-0.0083,9215,20241103,74.6415
6,301V11317,KR4301VB3171,P 202411 317.5,3,317.5, ,2001,KOSPI200,P,202411,-0.0924,0.0103,-0.0998,0.1054,-0.0114,5408,20241103,55.7024
6,301V11320,KR4301VB3205,P 202411 320.0,3,320.0, ,2001,KOSPI200,P,202411,-0.1226,0.0126,-0.1221,0.1293,-0.0151,13489,20241103,169.9614
6,301V11322,KR4301VB3221,P 202411 322.5,3,322.5, ,2001,KOSPI200,P,202411,-0.1588,0.015,-0.1451,0.1542,-0.0196,5147,20241103,77.205
6,301V11325,KR4301VB3254,P 202411 325.0,3,325.0, ,2001,KOSPI200,P,202411,-0.201,0.0174,-0.1678,0.1789,-0.0248,12164,20241103,211.65359999999998
6,301V11327,KR4301VB3270,P 202411 327.5,3,327.5, ,2001,KOSPI200,P,202411,-0.249,0.0197,-0.1888,0.202,-0.0308,5952,20241103,117.25439999999999
6,301V11330,KR4301VB3304,P 202411 330.0,3,330.0, ,2001,KOSPI200,P,202411,-0.302,0.0216,-0.2067,0.2221,-0.0374,14828,20241103,320.2848
6,301V11332,KR4301VB3320,P 202411 332.5,3,332.5, ,2001,KOSPI200,P,202411,-0.3592,0.0232,-0.2204,0.2381,-0.0446,6630,20241103,153.816
6,301V11335,KR4301VB3353,P 202411 335.0,3,335.0, ,2001,KOSPI200,P,202411,-0.4192,0.0242,-0.2289,0.2489,-0.0522,9707,20241103,234.9094
6,301V11337,KR4301VB3379,P 202411 337.5,3,337.5, ,2001,KOSPI200,P,202411,-0.4807,0.0247,-0.2317,0.2538,-0.06,4929,20241103,121.7463
6,301V11340,KR4301VB3403,P 202411 340.0,1,340.0, ,2001,KOSPI200,P,202411,-0.5422,0.0246,-0.2285,0.2527,-0.0679,7126,20241103,175.2996
6,301V11342,KR4301VB3429,P 202411 342.5,2,342.5, ,2001,KOSPI200,P,202411,-0.6023,0.0239,-0.2197,0.2457,-0.0756,3200,20241103,76.48
6,301V11345,KR4301VB3452,P 202411 345.0,2,345.0, ,2001,KOSPI200,P,202411,-0.6596,0.0227,-0.2059,0.2335,-0.0831,4609,20241103,104.6243
6,301V11347,KR4301VB3478,P 202411 347.5,2,347.5, ,2001,KOSPI200,P,202411,-0.7131,0.0211,-0.1879,0.2169,-0.0901,6958,20241103,146.81380000000001
6,301V11350,KR4301VB3502,P 202411 350.0,2,350.0, ,2001,KOSPI200,P,202411,-0.7619,0.0192,-0.167,0.1971,-0.0967,5623,20241103,107.96159999999999
6,301V11352,KR4301VB3528,P 202411 352.5,2,352.5, ,2001,KOSPI200,P,202411,-0.8055,0.0171,-0.1442,0.1753,-0.1026,1880,20241103,32.148
6,301V11355,KR4301VB3551,P 202411 355.0,2,355.0, ,2001,KOSPI200,P,202411,-0.8436,0.0149,-0.1208,0.1527,-0.1079,833,20241103,12.4117
6,301V11357,KR4301VB3577,P 202411 357.5,2,357.5, ,2001,KOSPI200,P,202411,-0.8762,0.0127,-0.0977,0.1303,-0.1126,294,20241103,3.7338
6,301V11360,KR4301VB3601,P 202411 360.0,2,360.0, ,2001,KOSPI200,P,202411,-0.9035,0.0106,-0.0758,0.1089,-0.1167,779,20241103,8.2574
6,301V11362,KR4301VB3627,P 202411 362.5,2,362.5, ,2001,KOSPI200,P,202411,-0.926,0.0087,-0.0558,0.0893,-0.1202,215,20241103,1.8704999999999998
6,301V11365,KR4301VB3650,P 202411 365.0,2,365.0, ,2001,KOSPI200,P,202411,-0.9441,0.007,-0.0379,0.0717,-0.1233,147,20241103,1.029
6,301V11367,KR4301VB3676,P 202411 367.5,2,367.5, ,2001,KOSPI200,P,202411,-0.9585,0.0055,-0.0225,0.0566,-0.1258,79,20241103,0.4345
6,301V11370,KR4301VB3700,P 202411 370.0,2,370.0, ,2001,KOSPI200,P,202411,-0.9696,0.0043,-0.0095,0.0438,-0.128,1954,20241103,8.4022
6,301V11372,KR4301VB3726,P 202411 372.5,2,372.5, ,2001,KOSPI200,P,202411,-0.9781,0.0032,0.0013,0.0333,-0.1299,9,20241103,0.028800000000000003
6,301V11375,KR4301VB3759,P 202411 375.0,2,375.0, ,2001,KOSPI200,P,202411,-0.9844,0.0024,0.0099,0.0249,-0.1316,43,20241103,0.10319999999999999
6,301V11377,KR4301VB3775,P 202411 377.5,2,377.5, ,2001,KOSPI200,P,202411,-0.9891,0.0018,0.0167,0.0183,-0.133,14,20241103,0.0252
6,301V11380,KR4301VB3809,P 202411 380.0,2,380.0, ,2001,KOSPI200,P,202411,-0.9925,0.0013,0.022,0.0132,-0.1343,757,20241103,0.9841
6,301V11382,KR4301VB3825,P 202411 382.5,2,382.5, ,2001,KOSPI200,P,202411,-0.9949,0.0009,0.026,0.0093,-0.1355,5,20241103,0.0045
6,301V11385,KR4301VB3858,P 202411 385.0,2,385.0, ,2001,KOSPI200,P,202411,-0.9966,0.0006,0.0291,0.0065,-0.1366,208,20241103,0.1248
6,301V11387,KR4301VB3874,P 202411 387.5,2,387.5, ,2001,KOSPI200,P,202411,-0.9978,0.0004,0.0313,0.0045,-0.1376,1,20241103,0.0004
6,301V11390,KR4301VB3908,P 202411 390.0,2,390.0, ,2001,KOSPI200,P,202411,-0.9985,0.0003,0.033,0.003,-0.1386,6,20241103,0.0018
6,301V11392,KR4301VB3924,P 202411 392.5,2,392.5, ,2001,KOSPI200,P,202411,-0.9991,0.0002,0.0342,0.002,-0.1395,128,20241103,0.0256
6,301V11395,KR4301VB3957,P 202411 395.0,2,395.0, ,2001,KOSPI200,P,202411,-0.9994,0.0001,0.0351,0.0013,-0.1404,14,20241103,0.0014
