date,selected_etf_count,selected_total_trading_value,kospi_trading_value,ratio
20100517,28,106011969680.0,7136385516218.0,0.014855134919362108
20100518,28,107756695840.0,6827671638396.0,0.015782348880696156
20100519,28,166317470015.0,6758713962438.0,0.024607857491724068
20100520,28,114776634030.0,6560696683526.0,0.017494580159178173
20100524,28,105322339705.0,4799503590064.0,0.021944423569770798
20100525,28,190956028220.0,6847295333983.0,0.02788780371021661
20100526,28,232759492410.0,6577114176138.0,0.03538930390694137
20100527,28,119948907536.0,6215660319619.0,0.01929785434982594
20100528,28,104255379715.0,5978491855314.0,0.01743840791927019
20100531,28,119623216120.0,4431497270473.0,0.026993859821836674
20100601,28,84536574726.0,4900310586572.0,0.017251268717058472
20100603,28,112354206203.0,5180056863403.0,0.021689763098312734
20100604,28,91908772017.0,5138448453916.0,0.017886483214005298
20100607,28,103412736570.0,4872722835783.0,0.0212227824268159
20100608,28,102142413405.0,4997057755917.0,0.020440510875435348
20100609,28,84905679795.0,5476070638309.0,0.015504854740372507
20100610,28,100231633545.0,5423394722520.0,0.018481345849454787
20100611,28,117502395815.0,5402053468513.0,0.021751431469511976
20100614,28,117072987851.0,4737543851369.0,0.024711747589876053
20100615,28,73558209400.0,4713054636719.0,0.015607332201692373
20100616,28,72015718074.0,5512488207337.0,0.01306410378858474
20100617,28,60638813665.0,5598359542231.0,0.010831532560131866
20100618,28,58878701455.0,4554903615120.0,0.012926442891031148
20100621,28,110441967205.0,5991423186539.0,0.018433344426935366
20100622,28,63510327435.0,5313986084290.0,0.011951541917424044
20100623,28,80413527775.0,5010100120565.0,0.016050283595117374
20100624,28,91961011075.0,4445509004286.0,0.020686272592483478
20100625,28,94135075158.0,4700316917234.0,0.02002738896452875
20100628,28,81291684486.0,4035146717055.0,0.020145905511294443
20100629,28,96318933370.0,4962840862162.0,0.019408023760012296
20100630,28,110157981540.0,5402906889164.0,0.0203886507392773
20100701,28,148401915320.0,5830574353511.0,0.025452366494672474
20100702,28,105835389076.0,5546653250216.0,0.0190809456264241
20100705,28,74325615838.0,4188328995119.0,0.017745887661790104
20100706,28,116489155405.0,4913934683348.0,0.023705881927928416
20100707,28,148883761375.0,4631632536500.0,0.032144985639881406
20100708,28,82619843810.0,5115964578891.0,0.01614941670059602
20100709,28,116904185115.0,5582672905432.0,0.020940539969886287
20100712,28,61822105340.0,4677173441926.0,0.013217834683193286
20100713,28,110880978885.0,5669972266579.0,0.01955582385095165
20100714,28,151278953560.0,8079352456488.0,0.018724143348705844
